출발행정코드,출발도,출발시,출발동,출발 주소,도착행정코드,도착도,도착시,도착동,도착 주소,위도,경도
5011025300,제주특별자치도,제주시,애월읍,제주특별자치도 제주시 애월읍,5011025300,제주특별자치도,제주시,애월읍,제주특별자치도 제주시 애월읍,,
5011025300,제주특별자치도,제주시,애월읍,제주특별자치도 제주시 애월읍,5011025300,제주특별자치도,제주시,애월읍,제주특별자치도 제주시 애월읍,,
5011025300,제주특별자치도,제주시,애월읍,제주특별자치도 제주시 애월읍,4313062500,충청북도,충주시,칠금.금릉동,충청북도 충주시 칠금.금릉동,,
5011066000,제주특별자치도,제주시,노형동,제주특별자치도 제주시 노형동,5011025000,제주특별자치도,제주시,한림읍,제주특별자치도 제주시 한림읍,,
5011025000,제주특별자치도,제주시,한림읍,제주특별자치도 제주시 한림읍,5011025300,제주특별자치도,제주시,애월읍,제주특별자치도 제주시 애월읍,,
5011025300,제주특별자치도,제주시,애월읍,제주특별자치도 제주시 애월읍,5011025300,제주특별자치도,제주시,애월읍,제주특별자치도 제주시 애월읍,,
5011025300,제주특별자치도,제주시,애월읍,제주특별자치도 제주시 애월읍,5011025300,제주특별자치도,제주시,애월읍,제주특별자치도 제주시 애월읍,,
5011025300,제주특별자치도,제주시,애월읍,제주특별자치도 제주시 애월읍,5011025300,제주특별자치도,제주시,애월읍,제주특별자치도 제주시 애월읍,,
5011025300,제주특별자치도,제주시,애월읍,제주특별자치도 제주시 애월읍,5011025300,제주특별자치도,제주시,애월읍,제주특별자치도 제주시 애월읍,,
5013058000,제주특별자치도,서귀포시,서홍동,제주특별자치도 서귀포시 서홍동,5013057000,제주특별자치도,서귀포시,동홍동,제주특별자치도 서귀포시 동홍동,,
5013057000,제주특별자치도,서귀포시,동홍동,제주특별자치도 서귀포시 동홍동,5013058000,제주특별자치도,서귀포시,서홍동,제주특별자치도 서귀포시 서홍동,,
5013060000,제주특별자치도,서귀포시,대천동,제주특별자치도 서귀포시 대천동,5013060000,제주특별자치도,서귀포시,대천동,제주특별자치도 서귀포시 대천동,,
5013060000,제주특별자치도,서귀포시,대천동,제주특별자치도 서귀포시 대천동,5013060000,제주특별자치도,서귀포시,대천동,제주특별자치도 서귀포시 대천동,,
5013054000,제주특별자치도,서귀포시,천지동,제주특별자치도 서귀포시 천지동,5013025300,제주특별자치도,서귀포시,남원읍,제주특별자치도 서귀포시 남원읍,,
5013025300,제주특별자치도,서귀포시,남원읍,제주특별자치도 서귀포시 남원읍,5013054000,제주특별자치도,서귀포시,천지동,제주특별자치도 서귀포시 천지동,,
5013054000,제주특별자치도,서귀포시,천지동,제주특별자치도 서귀포시 천지동,5013060000,제주특별자치도,서귀포시,대천동,제주특별자치도 서귀포시 대천동,,
5013060000,제주특별자치도,서귀포시,대천동,제주특별자치도 서귀포시 대천동,5013054000,제주특별자치도,서귀포시,천지동,제주특별자치도 서귀포시 천지동,,
5013058000,제주특별자치도,서귀포시,서홍동,제주특별자치도 서귀포시 서홍동,5013062000,제주특별자치도,서귀포시,예래동,제주특별자치도 서귀포시 예래동,,
5013062000,제주특별자치도,서귀포시,예래동,제주특별자치도 서귀포시 예래동,5013059000,제주특별자치도,서귀포시,대륜동,제주특별자치도 서귀포시 대륜동,,
5013059000,제주특별자치도,서귀포시,대륜동,제주특별자치도 서귀포시 대륜동,5013058000,제주특별자치도,서귀포시,서홍동,제주특별자치도 서귀포시 서홍동,,
5013062000,제주특별자치도,서귀포시,예래동,제주특별자치도 서귀포시 예래동,5013057000,제주특별자치도,서귀포시,동홍동,제주특별자치도 서귀포시 동홍동,,
5013057000,제주특별자치도,서귀포시,동홍동,제주특별자치도 서귀포시 동홍동,5013054000,제주특별자치도,서귀포시,천지동,제주특별자치도 서귀포시 천지동,,
5013054000,제주특별자치도,서귀포시,천지동,제주특별자치도 서귀포시 천지동,5013062000,제주특별자치도,서귀포시,예래동,제주특별자치도 서귀포시 예래동,,
5013062000,제주특별자치도,서귀포시,예래동,제주특별자치도 서귀포시 예래동,5013060000,제주특별자치도,서귀포시,대천동,제주특별자치도 서귀포시 대천동,,
5013060000,제주특별자치도,서귀포시,대천동,제주특별자치도 서귀포시 대천동,5013062000,제주특별자치도,서귀포시,예래동,제주특별자치도 서귀포시 예래동,,
5013058000,제주특별자치도,서귀포시,서홍동,제주특별자치도 서귀포시 서홍동,5013057000,제주특별자치도,서귀포시,동홍동,제주특별자치도 서귀포시 동홍동,,
5013057000,제주특별자치도,서귀포시,동홍동,제주특별자치도 서귀포시 동홍동,5013058000,제주특별자치도,서귀포시,서홍동,제주특별자치도 서귀포시 서홍동,,
5011054000,제주특별자치도,제주시,이도2동,제주특별자치도 제주시 이도2동,5011054000,제주특별자치도,제주시,이도2동,제주특별자치도 제주시 이도2동,,
5011054000,제주특별자치도,제주시,이도2동,제주특별자치도 제주시 이도2동,5011054000,제주특별자치도,제주시,이도2동,제주특별자치도 제주시 이도2동,,
5011054000,제주특별자치도,제주시,이도2동,제주특별자치도 제주시 이도2동,5011054000,제주특별자치도,제주시,이도2동,제주특별자치도 제주시 이도2동,,
5011054000,제주특별자치도,제주시,이도2동,제주특별자치도 제주시 이도2동,5011054000,제주특별자치도,제주시,이도2동,제주특별자치도 제주시 이도2동,,
5011052000,제주특별자치도,제주시,일도2동,제주특별자치도 제주시 일도2동,5011061000,제주특별자치도,제주시,삼양동,제주특별자치도 제주시 삼양동,,
5011061000,제주특별자치도,제주시,삼양동,제주특별자치도 제주시 삼양동,5011052000,제주특별자치도,제주시,일도2동,제주특별자치도 제주시 일도2동,,
5013025000,제주특별자치도,서귀포시,대정읍,제주특별자치도 서귀포시 대정읍,5013025000,제주특별자치도,서귀포시,대정읍,제주특별자치도 서귀포시 대정읍,,
5013025000,제주특별자치도,서귀포시,대정읍,제주특별자치도 서귀포시 대정읍,5013025000,제주특별자치도,서귀포시,대정읍,제주특별자치도 서귀포시 대정읍,,
5013025000,제주특별자치도,서귀포시,대정읍,제주특별자치도 서귀포시 대정읍,5013025000,제주특별자치도,서귀포시,대정읍,제주특별자치도 서귀포시 대정읍,,
5011058000,제주특별자치도,제주시,용담2동,제주특별자치도 제주시 용담2동,5011025300,제주특별자치도,제주시,애월읍,제주특별자치도 제주시 애월읍,,
5011025300,제주특별자치도,제주시,애월읍,제주특별자치도 제주시 애월읍,5013052000,제주특별자치도,서귀포시,정방동,제주특별자치도 서귀포시 정방동,,
5011054000,제주특별자치도,제주시,이도2동,제주특별자치도 제주시 이도2동,5011054000,제주특별자치도,제주시,이도2동,제주특별자치도 제주시 이도2동,,
5011054000,제주특별자치도,제주시,이도2동,제주특별자치도 제주시 이도2동,5011051000,제주특별자치도,제주시,일도1동,제주특별자치도 제주시 일도1동,,
5011051000,제주특별자치도,제주시,일도1동,제주특별자치도 제주시 일도1동,5011051000,제주특별자치도,제주시,일도1동,제주특별자치도 제주시 일도1동,,
5011054000,제주특별자치도,제주시,이도2동,제주특별자치도 제주시 이도2동,5011054000,제주특별자치도,제주시,이도2동,제주특별자치도 제주시 이도2동,,
5011054000,제주특별자치도,제주시,이도2동,제주특별자치도 제주시 이도2동,5011054000,제주특별자치도,제주시,이도2동,제주특별자치도 제주시 이도2동,,
5011051000,제주특별자치도,제주시,일도1동,제주특별자치도 제주시 일도1동,5011054000,제주특별자치도,제주시,이도2동,제주특별자치도 제주시 이도2동,,
5011056000,제주특별자치도,제주시,삼도2동,제주특별자치도 제주시 삼도2동,5011058000,제주특별자치도,제주시,용담2동,제주특별자치도 제주시 용담2동,,
5011058000,제주특별자치도,제주시,용담2동,제주특별자치도 제주시 용담2동,5011025300,제주특별자치도,제주시,애월읍,제주특별자치도 제주시 애월읍,,
5011025300,제주특별자치도,제주시,애월읍,제주특별자치도 제주시 애월읍,5011058000,제주특별자치도,제주시,용담2동,제주특별자치도 제주시 용담2동,,
5011058000,제주특별자치도,제주시,용담2동,제주특별자치도 제주시 용담2동,5011065000,제주특별자치도,제주시,연동,제주특별자치도 제주시 연동,,
5011065000,제주특별자치도,제주시,연동,제주특별자치도 제주시 연동,5011056000,제주특별자치도,제주시,삼도2동,제주특별자치도 제주시 삼도2동,,
5011054000,제주특별자치도,제주시,이도2동,제주특별자치도 제주시 이도2동,5011054000,제주특별자치도,제주시,이도2동,제주특별자치도 제주시 이도2동,,
5011054000,제주특별자치도,제주시,이도2동,제주특별자치도 제주시 이도2동,5011053000,제주특별자치도,제주시,이도1동,제주특별자치도 제주시 이도1동,,
5011053000,제주특별자치도,제주시,이도1동,제주특별자치도 제주시 이도1동,5011054000,제주특별자치도,제주시,이도2동,제주특별자치도 제주시 이도2동,,
5011054000,제주특별자치도,제주시,이도2동,제주특별자치도 제주시 이도2동,5011054000,제주특별자치도,제주시,이도2동,제주특별자치도 제주시 이도2동,,
5011059000,제주특별자치도,제주시,건입동,제주특별자치도 제주시 건입동,5011051000,제주특별자치도,제주시,일도1동,제주특별자치도 제주시 일도1동,,
5011051000,제주특별자치도,제주시,일도1동,제주특별자치도 제주시 일도1동,5011059000,제주특별자치도,제주시,건입동,제주특별자치도 제주시 건입동,,
5011054000,제주특별자치도,제주시,이도2동,제주특별자치도 제주시 이도2동,5011054000,제주특별자치도,제주시,이도2동,제주특별자치도 제주시 이도2동,,
5011054000,제주특별자치도,제주시,이도2동,제주특별자치도 제주시 이도2동,5011054000,제주특별자치도,제주시,이도2동,제주특별자치도 제주시 이도2동,,
5011054000,제주특별자치도,제주시,이도2동,제주특별자치도 제주시 이도2동,5011054000,제주특별자치도,제주시,이도2동,제주특별자치도 제주시 이도2동,,
5011054000,제주특별자치도,제주시,이도2동,제주특별자치도 제주시 이도2동,5011063000,제주특별자치도,제주시,아라동,제주특별자치도 제주시 아라동,,
5011063000,제주특별자치도,제주시,아라동,제주특별자치도 제주시 아라동,5011054000,제주특별자치도,제주시,이도2동,제주특별자치도 제주시 이도2동,,
5011056000,제주특별자치도,제주시,삼도2동,제주특별자치도 제주시 삼도2동,5011065000,제주특별자치도,제주시,연동,제주특별자치도 제주시 연동,,
5011065000,제주특별자치도,제주시,연동,제주특별자치도 제주시 연동,5011056000,제주특별자치도,제주시,삼도2동,제주특별자치도 제주시 삼도2동,,
5011065000,제주특별자치도,제주시,연동,제주특별자치도 제주시 연동,5011063000,제주특별자치도,제주시,아라동,제주특별자치도 제주시 아라동,,
5011063000,제주특별자치도,제주시,아라동,제주특별자치도 제주시 아라동,5011065000,제주특별자치도,제주시,연동,제주특별자치도 제주시 연동,,
5011025300,제주특별자치도,제주시,애월읍,제주특별자치도 제주시 애월읍,5011031000,제주특별자치도,제주시,한경면,제주특별자치도 제주시 한경면,,
5011031000,제주특별자치도,제주시,한경면,제주특별자치도 제주시 한경면,5011025300,제주특별자치도,제주시,애월읍,제주특별자치도 제주시 애월읍,,
5011066000,제주특별자치도,제주시,노형동,제주특별자치도 제주시 노형동,5011053000,제주특별자치도,제주시,이도1동,제주특별자치도 제주시 이도1동,,
5013031000,제주특별자치도,서귀포시,안덕면,제주특별자치도 서귀포시 안덕면,5011056000,제주특별자치도,제주시,삼도2동,제주특별자치도 제주시 삼도2동,,
5011056000,제주특별자치도,제주시,삼도2동,제주특별자치도 제주시 삼도2동,5013061000,제주특별자치도,서귀포시,중문동,제주특별자치도 서귀포시 중문동,,
5013061000,제주특별자치도,서귀포시,중문동,제주특별자치도 서귀포시 중문동,5013031000,제주특별자치도,서귀포시,안덕면,제주특별자치도 서귀포시 안덕면,,
5011025900,제주특별자치도,제주시,조천읍,제주특별자치도 제주시 조천읍,5011025900,제주특별자치도,제주시,조천읍,제주특별자치도 제주시 조천읍,,
5011025900,제주특별자치도,제주시,조천읍,제주특별자치도 제주시 조천읍,5011025900,제주특별자치도,제주시,조천읍,제주특별자치도 제주시 조천읍,,
5011060000,제주특별자치도,제주시,화북동,제주특별자치도 제주시 화북동,5011060000,제주특별자치도,제주시,화북동,제주특별자치도 제주시 화북동,,
5011060000,제주특별자치도,제주시,화북동,제주특별자치도 제주시 화북동,5011061000,제주특별자치도,제주시,삼양동,제주특별자치도 제주시 삼양동,,
5011061000,제주특별자치도,제주시,삼양동,제주특별자치도 제주시 삼양동,5011061000,제주특별자치도,제주시,삼양동,제주특별자치도 제주시 삼양동,,
5011061000,제주특별자치도,제주시,삼양동,제주특별자치도 제주시 삼양동,5011061000,제주특별자치도,제주시,삼양동,제주특별자치도 제주시 삼양동,,
5011061000,제주특별자치도,제주시,삼양동,제주특별자치도 제주시 삼양동,5011060000,제주특별자치도,제주시,화북동,제주특별자치도 제주시 화북동,,
5011060000,제주특별자치도,제주시,화북동,제주특별자치도 제주시 화북동,5011060000,제주특별자치도,제주시,화북동,제주특별자치도 제주시 화북동,,
5011060000,제주특별자치도,제주시,화북동,제주특별자치도 제주시 화북동,5011060000,제주특별자치도,제주시,화북동,제주특별자치도 제주시 화북동,,
5011060000,제주특별자치도,제주시,화북동,제주특별자치도 제주시 화북동,5011060000,제주특별자치도,제주시,화북동,제주특별자치도 제주시 화북동,,
5011060000,제주특별자치도,제주시,화북동,제주특별자치도 제주시 화북동,5011060000,제주특별자치도,제주시,화북동,제주특별자치도 제주시 화북동,,
5011066000,제주특별자치도,제주시,노형동,제주특별자치도 제주시 노형동,5011065000,제주특별자치도,제주시,연동,제주특별자치도 제주시 연동,,
5011065000,제주특별자치도,제주시,연동,제주특별자치도 제주시 연동,5011066000,제주특별자치도,제주시,노형동,제주특별자치도 제주시 노형동,,
5011025000,제주특별자치도,제주시,한림읍,제주특별자치도 제주시 한림읍,5011025300,제주특별자치도,제주시,애월읍,제주특별자치도 제주시 애월읍,,
5011025300,제주특별자치도,제주시,애월읍,제주특별자치도 제주시 애월읍,5011025000,제주특별자치도,제주시,한림읍,제주특별자치도 제주시 한림읍,,
5011067000,제주특별자치도,제주시,외도동,제주특별자치도 제주시 외도동,5011064000,제주특별자치도,제주시,오라동,제주특별자치도 제주시 오라동,,
5011064000,제주특별자치도,제주시,오라동,제주특별자치도 제주시 오라동,5011062000,제주특별자치도,제주시,봉개동,제주특별자치도 제주시 봉개동,,
5011062000,제주특별자치도,제주시,봉개동,제주특별자치도 제주시 봉개동,5011064000,제주특별자치도,제주시,오라동,제주특별자치도 제주시 오라동,,
